City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
santa helena,BR,-2.23,-45.3,88.51,71,36,6.53
lewiston,US,46.42,-117.02,64.4,55,1,4.7
bouna,CI,9.27,-3,89.86,78,0,4.18
upington,ZA,-28.46,21.24,69.8,19,0,5.82
acaponeta,MX,22.49,-105.36,77.35,100,68,4.29
orito,CO,0.67,-76.88,70.42,97,88,2.73
vao,EE,59.1,26.19,62.95,45,0,5.41
nkhotakota,MW,-12.93,34.3,70.69,74,0,6.08
boyuibe,BO,-20.43,-63.28,55.4,47,90,5.82
necochea,AR,-38.55,-58.74,50.26,81,80,14.03
paitan,CN,23.49,113.78,77,78,0,11.18
claresholm,CA,50.02,-113.58,60.8,31,1,23.04
sabha,LY,27.03,14.43,112.45,10,24,9.66
northam,GB,51.04,-4.21,66.2,77,40,12.75
sarakhs,TM,36.54,61.16,82.4,37,80,6.93
moroni,US,39.52,-111.59,70.69,19,0,3.06
nisia floresta,BR,-6.09,-35.21,86,51,75,24.16
yantarnyy,RU,54.87,19.94,64.4,72,20,6.71
banjar,ID,-7.37,108.54,71.5,88,12,3.62
khandyga,RU,62.65,135.58,54.85,47,48,6.2
heinola,FI,61.2,26.03,62.6,33,0,3.36
sept-iles,CA,50.2,-66.38,55.4,47,40,16.11
yenagoa,NG,4.92,6.26,81.94,80,92,11.01
pontianak,ID,-0.02,109.34,77.89,99,44,3.4
okha,RU,53.59,142.95,40.09,90,80,10.78
bismarck,US,46.81,-100.78,71.6,30,1,12.75
dunedin,NZ,-45.87,170.5,43.33,100,92,2.95
dabakala,CI,8.36,-4.43,88.78,74,24,4.52
pitelino,RU,54.58,41.81,69.7,66,64,11.23
egvekinot,RU,66.32,-179.17,37.3,71,0,2.51
melo,UY,-32.37,-54.17,50.08,78,56,22.08
mbeya,TZ,-8.91,33.47,71.05,40,0,3.85
kochi,IN,9.96,76.25,77,94,90,2.24
notse,TG,6.95,1.17,86.62,76,56,8.77
amuntai,ID,-2.42,115.25,77.17,88,36,2.17
san juan,PH,14.6,121.03,77,100,90,10.29
rocha,UY,-34.48,-54.34,49.99,93,56,21.18
elizabeth city,US,36.3,-76.22,78.8,83,90,12.75
narathiwat,TH,6.43,101.8,82.4,83,75,4.7
acari,BR,-6.44,-36.64,84.1,48,0,15.26
puerto carreno,CO,6.19,-67.49,84.2,74,40,3.36
troitskiy,RU,45.15,38.14,82.4,48,0,6.71
dhidhdhoo,MV,6.88,73.1,82.39,100,88,12.24
santa fe,AR,-31.62,-60.7,47.47,84,12,10.45
kuytun,RU,54.34,101.51,64.3,73,20,2.62
evans,US,40.38,-104.69,78.8,41,1,3.36
sokoni,CD,-12.89,28.78,74.56,37,0,4.07
sovetskiy,RU,56.76,48.47,61.33,85,76,14.03
pagudpud,PH,18.56,120.79,77,100,90,13.87
southbridge,US,42.08,-72.03,69.8,82,90,19.46
brazzaville,CD,-4.27,15.27,86,55,8,5.82
tutoia,BR,-2.76,-42.27,91.4,52,40,8.05
harlingen,US,26.19,-97.7,89.6,62,75,10.29
calamar,CO,1.96,-72.65,70.87,100,92,2.95
road town,VG,18.42,-64.62,87.8,66,40,12.75
tabas,IR,33.6,56.92,94.27,11,36,6.98
shieli,KZ,44.18,66.74,67.27,41,88,14.81
scalea,IT,39.82,15.79,70.06,100,36,5.3
san andres,PH,13.32,122.68,83.47,100,68,22.64
muisne,EC,0.61,-80.02,76.9,84,92,4.63
ati,TD,13.21,18.34,104.53,25,20,4.97
san luis,AR,-33.3,-66.34,42.43,53,0,2.62
